,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Iqaluit,75,CA,1569263240,75,63.75,-68.52,41.0,11.41
1,Cidreira,11,BR,1569263234,54,-30.17,-50.22,63.65,14.34
2,New Norfolk,40,AU,1569262959,90,-42.78,147.06,48.2,12.75
3,Deputatskiy,92,RU,1569263250,98,69.3,139.9,27.29,2.21
4,Aklavik,90,CA,1569263639,93,68.22,-135.01,39.2,3.36
5,Bluff,95,AU,1569263230,78,-23.58,149.07,62.57,3.29
6,Mehamn,40,NO,1569263639,75,71.03,27.85,41.0,24.16
7,San Quintin,10,PH,1569263238,93,17.54,120.52,73.55,2.75
8,Fortuna,0,ES,1569263228,50,38.18,-1.13,79.0,3.36
9,Vaini,20,IN,1569263231,91,15.34,74.49,74.81,1.39
10,Ust-Nera,89,RU,1569263639,95,64.57,143.24,26.39,5.79
11,Souillac,0,FR,1569263640,82,45.6,-0.6,66.0,3.36
12,Samarai,97,PG,1569263256,91,-10.62,150.67,69.41,3.96
13,Hithadhoo,100,MV,1569263214,81,-0.6,73.08,78.77,4.54
14,Port Alfred,14,ZA,1569263245,83,-33.59,26.89,57.99,3.0
15,Rikitea,100,PF,1569263040,74,-23.12,-134.97,68.87,15.5
16,Puerto Ayora,20,EC,1569263215,61,-0.74,-90.35,77.0,19.46
17,Busselton,100,AU,1569263216,61,-33.64,115.35,50.0,9.1
18,Mataura,76,NZ,1569263048,92,-46.19,168.86,42.01,4.0
19,Punta Arenas,90,CL,1569263215,66,-53.16,-70.91,51.8,14.99
20,Hobart,40,AU,1569263151,90,-42.88,147.33,48.2,12.75
21,Sao Filipe,20,CV,1569263217,83,14.9,-24.5,80.93,24.47
22,Saint George,40,GR,1569263214,73,39.45,22.34,69.8,8.05
23,Barrow,0,AR,1569263047,48,-38.31,-60.23,70.85,16.91
24,Klaksvik,100,FO,1569263216,93,62.23,-6.59,53.6,19.46
25,Lompoc,90,US,1569263424,87,34.64,-120.46,79.0,9.17
26,Butaritari,89,KI,1569263244,67,3.07,172.79,83.81,5.73
27,Albany,90,US,1569263218,45,42.65,-73.75,87.01,10.29
28,Ossora,100,RU,1569263264,92,59.24,163.07,40.07,4.25
29,Jamestown,0,AU,1569263229,92,-33.21,138.6,38.81,3.2
30,Paita,0,PE,1569263641,290,-5.09,-81.11,62.6,14.99
31,Hermanus,0,ZA,1569263217,82,-34.42,19.24,59.0,10.83
32,Salalah,75,OM,1569263252,74,17.01,54.1,82.4,8.05
33,Pacific Grove,20,US,1569263575,64,36.62,-121.92,78.01,5.82
34,Saldanha,100,PT,1569263223,44,41.42,-6.55,69.41,6.44
35,Turukhansk,96,RU,1569263641,86,65.8,87.96,37.91,14.29
36,Mansa,75,IN,1569263641,83,23.43,72.66,78.8,12.75
37,Sisimiut,100,GL,1569263250,89,66.94,-53.67,39.89,16.33
38,Visby,0,SE,1569263642,70,57.64,18.3,51.01,6.93
39,Bluefield,90,US,1569263642,47,37.27,-81.22,87.01,10.29
